item_id,description,manufacturer_name
01-400,"2 PC ESCUTCHEON CHR 1/2""",FPP
01-401,"3-pc 1/2"" Recessed Split",FPP
01-402,"2 PC RECESSED CANOPY WH 1/2""",FPP
01-403,"3-pc 1/2"" Recessed Split",FPP
01432C,"THERMO RELEASE,THERMO RELEASE",
01440A,"SCW,SCW",
01-452,2 PC REC CANOPY 1/2 WH SHORT,FPP
01457A,"SCREEN,SCREEN",
01-520,FLUSH SKIRT - CHROME,FPP
01-522,FLUSH SKIRT - WHITE,FPP
01-540,SEMI FLUSH SKIRT CHROME,FPP
01-542,SEMI FLUSH SKIRT WHITE,FPP
01553C,"EMERGENCY RELEASE,EMERGENCY RELEASE",
01557A,"VALVE,
01560B,PLATE",
01-600,CHROME CUP F/401SC,FPP
01-602,1/2 WHITE STL CUP F/401SW,FPP
01603A,DIAPHRAGM,VIK
01604A,"RING,
01-606,1/2 Brass Cup/401 Escutcheon,FPP
01610A,RESTRICTION",
01611A,"RESTRICTION,
01611AJ,RESTRICTION",
01616A,"SPRING,SPRING",
01-620,3/4 Chrome Cup 401 Escutcheon,FPP
01-622,3/4 WHITE STL CUP F/401SW,FPP
01-626,3/4 401 BRASS ESC CUP,FPP
01-660,1/2 2-PC CUP ONLY WHITE,FPP
01-680,WATERSHIELD FOR PENDENT,FPP
01-682-00,WATERSHIELD 4 OD 3/4,FPP
01-705,3/4 SHALLOW LT WT CHR ESC,FPP
01714A,"KIT,
01715A,WRENCH",
01718501G,1/2 BRZ GATE VLV TE FULL PRT,SMC
01718A,"CORE,
01-722,1/4-3/4 1PC CANOPY IPS CHROME,FPP
01-724,1/2 X 1/2 SHALLOW CHROME ESC,FPP
01724A,6-HEAD SPK CABINET PKG,VIK
01725A,12-HEAD SPK CABINET PKG,VIK
01-728,3/4 X 1/2 SHALLOW CHROME ESC,FPP
01728A,PLATE",
01729A,"LABEL,
01731A,6-HEAD FLUSH CABINET PKG,VIK
01734A,O-RING",
01735A,"O-RING,
01736A,O-RING",
01755A,"NUT,NUT",
01802A,"O-RING SEAT,O-RING SEAT",
01803A,"BALL,BALL",
01-805,1/2 WHITE 1PC PLASTIC CUP,FPP
01841A,"NUT,
01-850,1/2 CHR 2 PC PLAS CUP 401,FPP
01-855,1/2 WHITE 2 PC PLAS CUP 401,FPP
01868,PLUG",
01905A,"SPRING,SPRING",
01920A,"SPRING,SPRING",
01922A,"SCW,
01923A,SCW",
01938B,"BASE,BASE",
01976B,"RING, REPLACEMENT",
01977A,"SCW,
01994B,RUBBER",
01-E606-01,RELAY MODULE 4 CHANNEL,XTR
01G-0250,2 1/2 GRV BFV W/SWITCH UL/FM,KEN
01G-0300,"3"" GRV BFV W/SWITCH UL/FM",KEN
01G-0400,"4"" GRV BFV W/SWITCH UL/FM",KEN
01G-0600,"6"" GRV BFV W/SWITCH UL/FM",KEN
01G-0800,"8"" GRV BFV W/SWITCH UL/FM",KEN
01GNC-0250,"2 1/2"" NORM CLOSED GRV BFV",KEN
01GNC-0300,"3"" NORMALLY CLOSED GRV BFV",KEN
01GNC-0400,"4"" NORMALLY CLOSED GRV BFV",KEN
01GNC-0600,"6"" NORMALLY CLOSED GRV BFV",KEN
01GNC-0800,"8"" NORMALLY CLOSED GRV BFV",KEN
01W-0250,2 1/2 WAFER BFV W/SWITCH UL/FM,KEN
01W-0300,3 WAFER BFV W/SWITCH UL/FM,KEN
01W-0400,4 WAFER BFV W/SWITCH UL/FM,KEN
01W-0600,6 WAFER BFV W/SWITCH UL/FM,KEN
01W-0800,8 WAFER BFV W/SWITCH UL/FM,KEN
01W-1000,10 WAFER BFV W/SWITCH UL/FM,KEN
01WC-0600,6 WAFER BFV W/ULFM CLOSED,KEN
01WC-0800,8 WAFER BFV W/ULFM CLOSED,KEN
02-002,SIGN - BLANK 6 X 2,FPP
020-050-E,ASD ENCL IP66 VESDA-E,XTR
02-006,"AIR CONTROL,SIGN
02006B,GASKET",
02-010,AIR LINE SIGN,FPP
02012B,"DIAPH ASSY,DIAPH ASSY",
02-022,"ANTI-FREEZE SYSTEM 6"" X 2""",FPP
02-023,"ANTI-FREEZE SYSTEM 5"" X 7""",FPP
02-024,AUTO SPR SHUT-OFF 12X10,FPP
02-027,"AUX DRAIN,100 PER ROLL
02-035,CNTRL VLV",100 PER ROLL
02-036,CONTROL VALVE SIGN (4X6),FPP
02-038,CONTROL VALVE SIGN (9X7),FPP
02039B,"GAUGE,GAUGE",
02040,1/8-2 HEAVY DUTY CHAIN WRENCH,REE
02-042,"DRAIN,SIGN
02-046,DRAIN VALVE",SIGN
02-049,DRUM DRIP SIGN 6 X 2,FPP
02050,1/4-21/2 HEAVY DUTY CHAIN WREN,REE
02-050,SIGN DRY STAND PIPE 6 X 2,FPP
02-051,FIRE DEPT CONN SIGN 6 X 2,FPP
02-052,FDC SIGN W/ ARROW 10 x 12,FPP
02-055,"FIRE ALARM BELL,SIGN
02-057,911 FIRE ALARM BELL 7"""" ROUND""",FPP
02-058,FIRE SPK VLV(DO NOT CLOSE)6X2,FPP
02060,1/4-3 HEAVY DUTY CHAIN WREN,REE
02-060,FIRE SPK RISER INSIDE SIGN 6X2,FPP
02-061,"FIRE SPRINKLER LINE,SIGNCONTR
02-062,FROM CITY MAIN SIGN 6X2,FPP
02-063-00,FIRE SPRINKLER RISER ROOM 6X18,FPP
02-064,GENERAL INFORMATION SIGN,FPP
02-074,INSPECTORS TEST SIGN (6X2),FPP
02-075,6X2 INSPECT TST DECAL ROLL 100,FPP
02-078,HYDRAULIC SYSTEM 5 X 7 SIGN,FPP
02079A,SCW",
02-081,Hydraulic Systems Sign,FPP
02-083,LOW POINT DRAIN SIGN 6 X 2,FPP
02083A,"O-RING,O-RING",
02-090,"DECAL,DECAL",
02-091,WARNING SIGN MULTI USE SYSTEM,FPP
02-092,"NORMALLY CLOSED,NORMALLY CLOSED",
02093,1/8-1 1/2 ALUMINUM PIPE WRENCH,REE
02095,1/4-2 ALUMINUM PIPE WRENCH,REE
02-096,"NORMALLY OPEN,NORMALLY OPEN",
02097,1/4-2 1/2 ALUMINUM PIPE WRENCH,REE
02099,1/4-3 ALUMINUM PIPE WRENCH,REE
0209CV30G,1/2 BRASS IN-LINE CHK VLV IPS,SMC
0209CV30I,3/4 BRASS IN-LINE CHK VLV IPS,SMC
02101A,"SCW,
02-105,OPEN VALVE",SIGN
02105A,"O-RING,O-RING",
02-108,"SPRINKLER CONTROL VALVE 6""X2""",FPP
02110,1/8-3/4 HEAVY DUTY PIPE WRENCH,REE
02170,1/4-3 HEAVY DUTY PIPE WRENCH,REE
0217129,1/2 SHALLOW DROP IN ANCHOR,FAS
02176B,"RUBBER,
02181A,SEAL",
02194A,"RUBBER,
02198A,GASKET",
02199,UP TO 7/16 CHROME ADJ WRENCH,REE
02-200,#16 SIGN CHAIN 100',FPP
02-2002-01P,"SU FOR MICRO BORE TUBE,SU FOR MICRO BORE TUBE",
02245A,"GASKET,
02247,1/8-51/2PIP CAP 7.5 STRAP WRNH,REE
02248,1/8-2PIPE CAP 3.5 STRAP WRENCH,REE
02249,1-5 PIPE CAP 6"""" STRAP WRENCH""",REE
02251,1 1/4&11/16 DUAL SOCKET WRENCH,REE
02273A,"SCREW,SCREW",
02275A,"NUT,NUT",
02276A,"RETAINER,
02280C,DEVICE ASSY",
02-2820,18 AH BATTERY,FIK
02306,1/8 - 6 CHAIN VISE TRISTANDS,REE
02376B,"CLAPPER ASSY,CLAPPER ASSY",
02377B,"RUBBER,
02378B,RING",
02378BN,"RING, PTFE COATED",
02379C,"CLAPPER,CLAPPER",
02382B,"RUBBER,
02383A,SCW",
02396A,"ANAEROBIC ADHESIVE,ANAEROBIC ADHESIVE",
02-400,12 HEAD CAPACITY CABINET,FPP
02-401,6 HEAD CAPACITY CABINET,FPP
02-402,3 HEAD CABINET,FPP
02-403,ESFR 6 HEAD CAPACITY CABINET,FPP
02-404,24 HEAD CAPACITY CABINET,FPP
02-405,36 HEAD CAPACITY CABINET,FPP
02409A,"COVER,
02-410,BREAK SHACKLE LOCK KEYED ALIKE,FPP
02410A,COVER",
02-411,MASTER BREAK LOCK KEYED ALIKE,FPP
02-450,10 ELEC BELL 120VAC IMPORT,FPP
02-452,6 ELEC BELL 120VAC IMPORT,FPP
02-452-50,6 ELEC BELL 24VAC IMPORT,FPP
02-454,"ALARM BELL BACK BOX,BACK BOX
02454A,SCW",
02-455,IMPORT WEATHERPROOF BACKBOX,FPP
02-457,"10"" BELL GUARD",FPP
02-469425,"2-1/2"" GRV 90ELL SS SCH10",OTH
02-46T425,"2-1/2"" GRV TEE SS SCH10",OTH
02491B,"CLPR ASSY,CLPR ASSY",
024920014,SENSOR TUBE GRIPPING TOOL,RTX
02492C,"RUBBER,
02493B,RING",
02493BN,"RING, PTFE COATED",
02497B,"RUBBER,
0250037EG,3/8 ROD COUPLING EG,ERC
0250050EG,1/2 ROD COUPLING EG,ERC
0250075EG,3/4 ROD COUPLING EG,ERC
02509A,SPRING",
02524A,"GASKET,
02547C,IMPELLER",
02548A,"SCW,
02550B,GASKET",
02556B,"SHAFT,
02558B,ARM ASSY",
02568A,"WAX,WAX",
026200103,"3/8"" NOZ (7LB 2 NOZ FM200)",RTX
026200104,"3/8"" NOZ (7LB FM200)",RTX
026200105,"1/2"" NOZ (14LB 2 NOZ FM200)",RTX
026200107,"1/2"" NOZ (14LB FM200)",RTX
026200108,"1/2"" NOZ (14LB SSP-1230)",RTX
02629A,"SCREW,
02-630,UNIVERSAL RED HEAD GUARD 2 PC.,FPP
02-631,UNIVERSAL ¾"""" RED HEADGRD 2 PC""",FPP
026800016,PULL TAB FOR MAN REL,RTX
02683A,"SCW,
0272000-ELK,1.5'' FNPTX1.5'' FNPT ANG VLV,ELH
0275000-ELK,2.5'' FNPTX2.5'' FNPT ANG VLV,ELH
02754A,RUBBER",
02757B,"GASKET,
027650004,FM-200 D/I/M MANUAL,RTX
027650005,NOVEC 1230 D/I/M MANUAL,RTX
02766A,WASHER",
028200190,PRESSURE GAUGE FM-200,RTX
02902B,"RESTRICTION ASSY,RESTRICTION ASSY",
029200091,PRV 480 PSI 3 LB CLEAN AGENT,RTX
0292000-ELK,1.5'' FNPTX1.5'' MNH ANG VLV,ELH
029205000,RUPTURE DISC FOR MAN REL,RTX
02921A,"KNOB,KNOB",
02944A,"INDICATOR ASSY,INDICATOR ASSY",
029510056,EOL PLUG,RTX
029900168,PRESSURE SWITCH N.O.,RTX
029900169,BKT & SS STRAPS 3LB CYL,RTX
029900170,BKT & SS STRAPS 7LB CYL,RTX
029900171,BKT & SS STRAPS 14LB CYL,RTX
029900177,CLIP WITH MAGNET,RTX
